,Sorted Json formula,Site,Distance,Element
621,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12586661724720938,Y
620,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ce"": 0.8, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",A,0.12586661724720938,Y
637,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ce"": 0.2, ""Zr"": 0.8}, ""C"": {""O"": 1.0}}",A,0.12586661724720938,Y
516,"{""A"": {""Gd"": 0.25, ""La"": 0.25, ""Sm"": 0.25, ""Yb"": 0.25}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12537900516250133,Yb
629,"{""A"": {""Dy"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ta"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12468696477909214,Y
270,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Yb"": 0.2}, ""B"": {""B"": 1.0}}",A,0.12401498823914348,La
635,"{""A"": {""Eu"": 0.2, ""Gd"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Yb"": 0.2}, ""B"": {""Zr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12381071635520657,Eu
522,"{""A"": {""Dy"": 0.25, ""La"": 0.25, ""Y"": 0.25, ""Yb"": 0.25}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12354880638901422,Dy
108,"{""A"": {""Eu"": 0.25, ""Gd"": 0.25, ""Sm"": 0.25, ""Yb"": 0.25}, ""B"": {""Hf"": 0.25, ""Sn"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""C"": {""O"": 1.0}}",A,0.12311094915355925,Yb
112,"{""A"": {""Eu"": 0.25, ""Gd"": 0.25, ""Sm"": 0.25, ""Yb"": 0.25}, ""B"": {""Hf"": 0.25, ""Ti"": 0.5, ""Zr"": 0.25}, ""C"": {""O"": 1.0}}",A,0.12311094915355925,Yb
525,"{""A"": {""Eu"": 0.25, ""La"": 0.25, ""Nd"": 0.25, ""Sm"": 0.25}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12300407997738427,Eu
50,"{""A"": {""La"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
276,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""S"": 1.0}}",A,0.12286365989528913,Mn
49,"{""A"": {""Gd"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
52,"{""A"": {""Sm"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
