structure_key,supercell_filename,relaxed_filename,n_atoms_supercell,n_atoms_relaxed,wasserstein_distance_A,prototype,r_first_peak_A,r_centroid_A,norm_relative_first_peak,norm_relative_centroid,norm_minmax,norm_zscore,norm_robust_zscore,norm_percentile,norm_by_prototype_minmax
row390_pyrochlore,row390_pyrochlore.vasp,row390_pyrochlore_relaxed.vasp,352,352,0.1104079619670735,pyrochlore,1.95,3.7599791444320827,0.05661946767542231,0.029363982545107924,0.21740157741590127,-0.20920549822779902,0.0009179232273613735,50.148809523809526,0.31372619190308276
row391_pyrochlore,row391_pyrochlore.vasp,row391_pyrochlore_relaxed.vasp,352,352,0.110873975087628,pyrochlore,1.95,3.7593771320146407,0.056858448762886156,0.029492644976592416,0.2184386334316986,-0.20371162455299982,0.009678587465081658,50.297619047619044,0.316698741435949
row392_pyrochlore,row392_pyrochlore.vasp,row392_pyrochlore_relaxed.vasp,352,352,0.1770538029895862,pyrochlore,2.6500000000000004,3.787472281475884,0.06681275584512686,0.04674722079301732,0.36571386158083835,0.5764887566737988,1.253805042250952,83.77976190476191,0.7388388225586893
row393_pyrochlore,row393_pyrochlore.vasp,row393_pyrochlore_relaxed.vasp,352,352,0.1425062418543641,pyrochlore,4.35,3.768612389010419,0.032760055598704395,0.037813982215290684,0.28883242943623105,0.1692042226600913,0.6043392439968862,70.83333333333334,0.5184709140500612
row394_pyrochlore,row394_pyrochlore.vasp,row394_pyrochlore_relaxed.vasp,352,352,0.1768569996601281,pyrochlore,4.35,3.7904418686695265,0.04065678153106394,0.046658676161733685,0.36527589949835315,0.5741686232201825,1.250105301161696,83.63095238095238,0.7375834766912788
row395_pyrochlore,row395_pyrochlore.vasp,row395_pyrochlore_relaxed.vasp,352,352,0.1481274373458906,pyrochlore,4.35,3.774840924179997,0.034052284447331174,0.03924070982622085,0.3013417222937452,0.23547303907249476,0.7100131062633704,73.66071428571429,0.5543267329004083
row396_pyrochlore,row396_pyrochlore.vasp,row396_pyrochlore_relaxed.vasp,352,352,0.1433810713165475,pyrochlore,4.35,3.770004430367269,0.032961165819895985,0.03803206971366331,0.290779256932149,0.1795176716602167,0.620785319966453,71.42857142857143,0.524051173048041
row397_pyrochlore,row397_pyrochlore.vasp,row397_pyrochlore_relaxed.vasp,352,352,0.1174528599362823,pyrochlore,1.95,3.7595919311973676,0.060232235864760154,0.031240853285605257,0.23307914849148179,-0.12615251583831227,0.1333562237279973,55.35714285714286,0.3586633562098402
row398_pyrochlore,row398_pyrochlore.vasp,row398_pyrochlore_relaxed.vasp,352,352,0.1129691126677505,pyrochlore,1.95,3.7579884021155823,0.05793287829115411,0.030061059423215318,0.22310110951993342,-0.17901184532184528,0.04906545461904307,51.636904761904766,0.330062957936277
row399_pyrochlore,row399_pyrochlore.vasp,row399_pyrochlore_relaxed.vasp,352,352,0.0953922736678559,pyrochlore,1.95,3.7533454897069105,0.04891911470146456,0.025415265908629383,0.1839859734442535,-0.3862268974491426,-0.28136469433324596,36.75595238095239,0.2179458902961342
